Lat;24.04;lon;76.58
Datetime;Year;Month;Day;Data
1991-12-01;1991;12;1;0.0
1992-01-01;1992;1;1;0.0
1992-02-01;1992;2;1;0.0
1992-03-01;1992;3;1;0.0
1992-04-01;1992;4;1;0.0
1992-05-01;1992;5;1;0.0
1992-06-01;1992;6;1;86.5
1992-07-01;1992;7;1;147.4
1992-08-01;1992;8;1;279.1
1992-09-01;1992;9;1;43.8
1992-10-01;1992;10;1;16.0
1992-11-01;1992;11;1;0.0
1992-12-01;1992;12;1;0.0
1993-01-01;1993;1;1;0.0
1993-02-01;1993;2;1;0.0
1993-03-01;1993;3;1;0.0
1993-04-01;1993;4;1;0.0
1993-05-01;1993;5;1;0.0
1993-06-01;1993;6;1;207.9
1993-07-01;1993;7;1;401.7
1993-08-01;1993;8;1;319.0
1993-09-01;1993;9;1;273.4
1993-10-01;1993;10;1;7.6
1993-11-01;1993;11;1;0.0
1993-12-01;1993;12;1;0.0
1994-01-01;1994;1;1;0.0
1994-02-01;1994;2;1;0.0
1994-03-01;1994;3;1;0.0
1994-04-01;1994;4;1;0.0
1994-05-01;1994;5;1;0.0
1994-06-01;1994;6;1;101.7
1994-07-01;1994;7;1;350.9
1994-08-01;1994;8;1;350.7
1994-09-01;1994;9;1;100.8
1994-10-01;1994;10;1;0.0
1994-11-01;1994;11;1;0.0
1994-12-01;1994;12;1;0.0
1995-01-01;1995;1;1;0.0
1995-02-01;1995;2;1;0.0
1995-03-01;1995;3;1;0.0
1995-04-01;1995;4;1;0.0
1995-05-01;1995;5;1;0.0
1995-06-01;1995;6;1;60.7
1995-07-01;1995;7;1;307.5
1995-08-01;1995;8;1;204.9
1995-09-01;1995;9;1;142.2
1995-10-01;1995;10;1;36.3
1995-11-01;1995;11;1;0.0
1995-12-01;1995;12;1;0.0
1996-01-01;1996;1;1;0.0
1996-02-01;1996;2;1;0.0
1996-03-01;1996;3;1;0.0
1996-04-01;1996;4;1;0.0
1996-05-01;1996;5;1;0.0
1996-06-01;1996;6;1;42.4
1996-07-01;1996;7;1;415.5
1996-08-01;1996;8;1;916.3
1996-09-01;1996;9;1;183.8
